seq,edge_id,point_index,x,y,lon,lat
68,-630680455#0,1,895.56,699.61,145.13665439599004,-37.91420326200042
69,-10585186,0,895.62,699.89,145.13665514187227,-37.91420075049443
69,-10585186,1,902.54,732.04,145.13674113401214,-37.91391238127187
70,-10585181#7,0,903.03,742.41,145.13674906262978,-37.9138190539079
70,-10585181#7,1,902.58,744.72,145.1367444709393,-37.913798163806746
70,-10585181#7,2,899.51,747.67,145.1367102339333,-37.913771036625945
71,-10585181#6,0,891.15,753.88,145.1366165879078,-37.913713589890676
71,-10585181#6,1,890.65,754.11,145.13661095492932,-37.913711427949465
71,-10585181#6,2,884.83,755.86,145.13654517631548,-37.91369461538749
72,-10585181#5,0,875.72,758.42,145.13644217288248,-37.91366991357477
72,-10585181#5,1,870.07,759.88,145.13637826140604,-37.913655743932026
73,-10585181#4,0,861.04,762.35,145.13627614726752,-37.913631867128004
73,-10585181#4,1,855.56,763.92,145.13621419385413,-37.913616737109955
74,-10585181#3,0,846.49,766.46,145.13611164092407,-37.91359222238318
74,-10585181#3,1,840.85,767.99,145.1360478592066,-37.91357742378788
75,-10585181#2,0,831.78,770.45,145.1359452882007,-37.913553629578864
75,-10585181#2,1,825.98,772.02,145.1358796963712,-37.91353844174007
76,-10585181#1,0,816.94,774.53,145.13577747796427,-37.91351420237957
76,-10585181#1,1,805.5,777.77,145.13564813649896,-37.913482954485886
76,-10585181#1,2,800.15,779.32,145.13558765696487,-37.913468027732186
77,-10585181#0,0,796.64,780.47,145.13554800815095,-37.913457035794345
77,-10585181#0,1,796.46,780.55,145.1355459796608,-37.913456282700665
78,-1209653402#0,0,786.54,795.1,145.1354364939851,-37.91332342516832
78,-1209653402#0,1,792.27,805.06,145.135503911998,-37.913234735522
79,-1209653401,0,795.01,809.61,145.13553610184067,-37.9131942417061
79,-1209653401,1,818.57,846.78,145.13581244182,-37.91286364992855
80,-73530943#10,0,818.03,848.13,145.13580660880473,-37.91285139150297
80,-73530943#10,1,822.65,859.51,145.1358617277174,-37.91274970992666
