gps_x,gps_y,gt_x,gt_y
546.1168119,1347.233256,546.8544496,1346.047361
555.4482429,1350.779773,555.5769266,1348.006417
567.4114536,1349.423539,567.4417827,1348.445096
575.8258606,1349.592048,575.5980931,1350.598463
577.5166641,1352.228443,576.9988867,1350.356478
588.1666384,1341.176154,586.8998709,1340.028893
596.2341539,1334.891626,595.2545432,1333.181134
607.0798435,1331.053967,607.1041432,1329.917665
613.9119401,1332.060595,613.8916655,1330.058667
621.800886,1331.590248,621.7845654,1329.978731
632.2841424,1330.965214,632.273076,1329.872508
641.7599075,1330.08593,641.7327295,1329.698025
653.1914125,1328.119874,652.9590954,1327.349523
664.9830615,1325.106695,664.6006794,1323.838736
675.9872792,1321.478352,675.6905274,1320.494339
686.9851517,1317.960237,686.7167492,1317.112809
696.4741185,1315.859614,695.7424255,1314.103874
709.7516888,1306.701494,709.1198669,1306.364074
711.4656255,1296.617364,712.4024921,1296.633277
712.5467599,1285.935521,712.459598,1285.935811
713.3845928,1276.175214,711.9704438,1276.275317
714.941501,1266.359988,712.6818887,1265.315835
717.9600232,1259.827657,716.0612726,1258.812588
721.5383195,1252.138904,720.0531771,1251.345249
723.7494414,1246.428928,722.9179115,1245.984561
725.2766641,1242.081372,725.0643857,1241.967931
728.2778641,1232.363302,727.9010508,1232.306834
726.8981161,1236.810886,727.0232343,1236.845144
706.8863259,1221.61327,706.8700185,1220.510637
700.6271128,1221.689931,700.6110407,1220.603204
690.1642921,1221.818065,690.1486133,1220.757939
682.0441876,1221.9175,682.0270353,1220.882646
669.150472,1223.153314,669.1163834,1221.096635
658.4045439,1223.489343,658.3691025,1221.274254
648.7117446,1223.967317,648.6688496,1221.431203
638.871186,1223.634478,638.8367332,1221.597501
631.7368793,1223.305749,631.7100253,1221.71804
620.5731795,1224.1306,620.5355709,1221.907041
614.6769853,1222.706861,614.6651367,1222.006332
597.9896941,1223.894351,597.9625389,1222.288834
590.0937314,1224.671235,590.0556648,1222.422589
579.9361089,1224.715529,579.9059148,1222.585562
571.0061391,1224.939701,570.974562,1222.712172
559.3527669,1223.397423,559.3453898,1222.877025
547.3520755,1224.861407,547.3263605,1223.047405
535.6991098,1225.376456,535.6684363,1223.212666
524.5302938,1225.130849,524.5053452,1223.370912
515.7750314,1225.534144,515.4867702,1223.686437
509.1019043,1224.977098,510.18,1225.82
509.1524885,1243.660553,508.9654378,1243.671468
509.4475381,1253.316124,509.5279307,1253.311433
507.9509424,1264.460007,510.1708928,1264.330472
508.0175776,1266.363277,510.281798,1266.231159
